id,name,latitude,longitude,locality,state,country
GQW00041415 , GUAM INTL AP ,13.4836,144.7961, Tamuning ,  , Guam
RQC00660152 , AGUIRRE ,17.9556,-66.2222, Guayama , Salinas , Puerto Rico
RQC00660158 , AIBONITO 1 S ,18.1281,-66.2642, Aibonito , Aibonito , Puerto Rico
RQC00662801 , COLOSO ,18.3808,-67.1569, Aguada , Aguada , Puerto Rico
RQC00663431 , DOS BOCAS ,18.3361,-66.6667, Utuado , Arecibo , Puerto Rico
RQC00664193 , GUAYAMA 2E ,17.9783,-66.0875, Guayama , Guayama , Puerto Rico
RQC00664276 , GURABO SUBSTN ,18.2583,-65.9922, Gurabo , Gurabo , Puerto Rico
RQC00664702 , ISABELA SUBSTN ,18.4653,-67.0525, Isabela , Isabela , Puerto Rico
RQC00665064 , JUNCOS 1 SE ,18.2264,-65.9114, Juncos , Juncos , Puerto Rico
RQC00665097 , LAJAS SUBSTN ,18.0331,-67.0722, Lajas , Lajas , Puerto Rico
RQC00665807 , MANATI 2 E ,18.4308,-66.4661, ManatÌ_ , ManatÌ_ , Puerto Rico
RQC00666073 , MAYAGUEZ CITY ,18.1875,-67.1378, MayagÌ_ez , MayagÌ_ez , Puerto Rico
RQC00667292 , PONCE 4 E ,18.0258,-66.5253, Mercedita , Juana DÌ_az , Puerto Rico
RQC00668306 , RIO PIEDRAS EXP STN ,18.3906,-66.0542, San Juan , San Juan , Puerto Rico
RQC00669521 , TRUJILLO ALTO 2 SSW ,18.3283,-66.0164, Trujillo Alto , Trujillo Alto , Puerto Rico
RQW00011603 , BORINQUEN AP ,18.4981,-67.1294, Aguadilla , Aguadilla , Puerto Rico
RQW00011630 , ROOSEVELT ROADS ,18.255,-65.6408, Ceiba , Ceiba , Puerto Rico
RQW00011641 , SAN JUAN L M MARIN AP ,18.4325,-66.0108, Carolina , Carolina , Puerto Rico
USC00010178 , ALICEVILLE ,33.1272,-88.155, Aliceville , AL , United States
USC00010252 , ANDALUSIA 3 W ,31.3072,-86.5225, Andalusia , AL , United States
USC00010369 , ASHLAND 3 ENE ,33.2942,-85.7789, Lineville , AL , United States
USC00010402 , ATMORE ,31.1819,-87.4389, Atmore , AL , United States
USC00010505 , BANKHEAD LOCK & DAM ,33.4528,-87.3572, Northport , AL , United States
USC00010583 , BAY MINETTE ,30.8839,-87.7853, Bay Minette , AL , United States
USC00010655 , BELLE MINA 2 N ,34.6892,-86.8819, Madison , AL , United States
USC00011084 , BREWTON 3 SSE ,31.0583,-87.055, Brewton , AL , United States
USC00011099 , BRIDGEPORT 5 NW ,34.9786,-85.8008, Bridgeport , AL , United States
USC00011324 , CAMP HILL 2NW ,32.8236,-85.6561, Camp Hill , AL , United States
USC00011566 , CHATOM ,31.4714,-88.2503, Chatom , AL , United States
USC00011620 , CHILDERSBURG WTR PL ,33.285,-86.3431, Childersburg , AL , United States
USC00011694 , CLANTON ,32.8203,-86.6522, Clanton , AL , United States
USC00011803 , CODEN ,30.3875,-88.2269, Coden , AL , United States
USC00012245 , DEMOPOLIS L&D ,32.5192,-87.88, Demopolis , AL , United States
USC00012813 , FAIRHOPE 2 NE ,30.5467,-87.8808, Fairhope , AL , United States
USC00013154 , GADSDEN ,34.0219,-85.9878, Gadsden , AL , United States
USC00013160 , GAINESVILLE LOCK ,32.8347,-88.1342, Boligee , AL , United States
USC00013573 , GUNTERSVILLE ,34.3344,-86.3297, Guntersville , AL , United States
USC00013620 , HALEYVILLE ,34.2314,-87.6353, Haleyville , AL , United States
USC00013761 , HEADLAND ,31.3625,-85.3397, Headland , AL , United States
USC00013775 , HEFLIN ,33.6483,-85.6006, Heflin , AL , United States
USC00014502 , LAFAYETTE 2W ,32.9069,-85.4336, La Fayette , AL , United States
USC00015121 , MARION JUNCTION 2 NE ,32.4714,-87.2314, Marion Junction , AL , United States
USC00015635 , MOULTON 2 ,34.4883,-87.2989, Moulton , AL , United States
USC00016129 , OPELIKA ,32.6592,-85.4492, Opelika , AL , United States
USC00016478 , PINSON ,33.6906,-86.685, Pinson , AL , United States
USC00016988 , ROBERTSDALE ,30.5653,-87.7017, Robertsdale , AL , United States
USC00017020 , ROCKFORD 3 ESE ,32.8711,-86.1758, Kellyton , AL , United States
USC00017025 , ROCK MILLS ,33.1581,-85.2911, Roanoke , AL , United States
USC00017131 , RUSSELLVILLE NO 2 ,34.51,-87.7319, Russellville , AL , United States
USC00017157 , SAINT BERNARD ,34.1736,-86.8133, Cullman , AL , United States
USC00017207 , SAND MT SUBSTN ,34.2878,-85.9681, Crossville , AL , United States
USC00017304 , SCOTTSBORO ,34.6736,-86.0536, Scottsboro , AL , United States
USC00017999 , SYLACAUGA 4 NE ,33.2053,-86.2114, Sylacauga , AL , United States
USC00018024 , TALLADEGA ,33.4164,-86.135, Talladega , AL , United States
USC00018178 , THOMASVILLE ,31.9172,-87.7347, Thomasville , AL , United States
USC00018209 , THORSBY EXP STN ,32.9206,-86.6708, Clanton , AL , United States
USC00018438 , UNION SPRINGS 9 S ,32.0142,-85.7464, Union Springs , AL , United States
USC00018859 , WETUMPKA ,32.5906,-86.2103, Wetumpka , AL , United States
USC00020060 , AGUILA ,33.9433,-113.1875, Aguila , AZ , United States
USC00020080 , AJO ,32.3697,-112.86, Ajo , AZ , United States
USC00020586 , BAGDAD ,34.5972,-113.1739, Bagdad , AZ , United States
USC00020632 , BARTLETT DAM ,33.8097,-111.6497,  , AZ , United States
USC00020750 , BETATAKIN ,36.6778,-110.5411, Kayenta , AZ , United States
USC00020808 , BLACK RIVER PUMPS ,33.4783,-109.7517,  , AZ , United States
USC00020949 , BOUSE ,33.9431,-114.0242, Bouse , AZ , United States
USC00021001 , BRIGHT ANGEL RS ,36.2147,-112.062, North Rim , AZ , United States
USC00021314 , CASA GRANDE NM ,32.9947,-111.5367, Coolidge , AZ , United States
USC00021353 , CASTLE HOT SPRINGS ,33.9825,-112.3617, Morristown , AZ , United States
USC00021654 , CHINO VALLEY ,34.7569,-112.4567, Chino Valley , AZ , United States
USC00022109 , CORDES ,34.305,-112.165, Mayer , AZ , United States
USC00023160 , FT VALLEY ,35.2681,-111.7428, Flagstaff , AZ , United States
USC00023303 , GANADO ,35.7164,-109.5661, Ganado , AZ , United States
USC00023393 , GILA BEND ,32.9481,-112.7131, Gila Bend , AZ , United States
USC00023961 , HEBER BLACK MESA RS ,34.3925,-110.5581, Heber-Overgaard , AZ , United States
USC00024702 , KOFA MINE ,33.2742,-113.9653, Yuma , AZ , United States
USC00024829 , LAVEEN 3 SSE ,33.3369,-112.1472,  , AZ , United States
USC00024977 , LITCHFIELD PARK ,33.4992,-112.3631, Litchfield Park , AZ , United States
USC00025412 , MC NARY 2N ,34.1142,-109.8589,  , AZ , United States
USC00025635 , MONTEZUMA CASTLE NM ,34.6106,-111.8381, Camp Verde , AZ , United States
USC00025700 , MORMON FLAT ,33.5544,-111.4425, Mesa , AZ , United States
USC00025825 , NATURAL BRG ,34.3222,-111.4533, Pine , AZ , United States
USC00025924 , NOGALES 6 N ,31.4553,-110.9681, Rio Rico , AZ , United States
USC00026132 , ORGAN PIPE CACTUS NM ,31.9556,-112.8003, Ajo , AZ , United States
USC00026353 , PEARCE - SUNSITES ,31.9356,-109.8378,  , AZ , United States
USC00026468 , PETRIFIED FOREST NP ,34.7994,-109.885, Holbrook , AZ , United States
